AverageIncome,GreenUsers,NormalUsers,Period,PriceOfGreenDelivery,PriceOfNormalDelivery,QwithGreen,QwithNormal,SimulationIndex,TotalEmission,TotalQ,TotalUtility
2366.948745584635,339,661,21,27,8,2573.64464895194,3150.5791981548473,4,5466.8593822115945,5724.223847106787,6288.26450101775
2366.948745584635,342,658,22,27,8,2600.1489478511176,3164.322475844811,4,5504.456528910814,5764.471423695928,6296.194214078335
2366.948745584635,337,663,23,27,8,2581.3188484299553,3223.304157066164,4,5546.491120653122,5804.623005496121,6304.119002843423
2366.969468466522,60,940,0,30,8,559.2302141870375,4399.787946039115,5,4903.095138807449,4959.018160226153,6134.293729814368
2366.969468466522,385,615,1,30,8,2536.4936087817537,2436.2921160658425,5,4719.13636396942,4972.785724847596,6128.997454742172
2366.969468466522,176,824,2,30,8,1304.5110445058824,3696.0377895578936,5,4870.097729613188,5000.548834063776,6137.827622192166
2366.969468466522,299,701,3,30,8,2079.6133994303163,2961.6087745094096,5,4833.260833996694,5041.222173939726,6145.088476974602
2366.969468466522,239,761,4,30,8,1732.9740057854235,3341.6486276383034,5,4901.3252328451845,5074.622633423727,6153.37754466492
2366.969468466522,275,725,5,30,8,1949.276739104431,3162.6321160679145,5,4916.981181261904,5111.908855172345,6161.081210546719
2366.969468466522,263,737,6,30,8,1888.8325472866109,3258.8452981885684,5,4958.794590746518,5147.677845475179,6169.152021106749
2366.969468466522,274,726,7,30,8,1963.4384390070086,3221.171527606303,5,4988.266122712614,5184.609966613311,6176.990712117068
2366.969468466522,268,732,8,30,8,1937.392430200277,3283.195775798492,5,5026.848962978741,5220.588205998769,6184.8893316599515
2366.969468466522,275,725,9,30,8,1984.1373751066162,3273.393521319502,5,5059.117158915457,5257.5308964261185,6192.7603130972375
2366.969468466522,275,725,10,30,8,2009.3824925132785,3285.3261856107824,5,5093.770428872735,5294.708678124061,6200.703308753712
2366.969468466522,280,720,11,30,8,2054.1822387903794,3278.025291179931,5,5126.789306091272,5332.20752997031,6208.628830730285
2366.969468466522,284,716,12,30,8,2093.3198002454014,3276.568600813583,5,5160.556421034445,5369.8884010589845,6216.587765275119
2366.969468466522,283,717,13,30,8,2105.120793037554,3302.665182590202,5,5197.273896324002,5407.785975627756,6224.522518144456
2366.969468466522,287,713,14,30,8,2143.7135338811745,3302.0705164243423,5,5231.4126969173985,5445.784050305517,6232.386158090669
2366.969468466522,284,716,15,30,8,2140.2695578392154,3343.8094747609466,5,5270.052076816241,5484.0790326001625,6240.322028718683
2366.969468466522,298,702,16,30,8,2248.424905108943,3274.9324817277634,5,5298.514896325811,5523.357386836707,6248.237418621609
2366.969468466522,291,709,17,30,8,2220.388369778303,3341.485903262553,5,5339.835436063026,5561.874273040856,6256.224109323783
2366.969468466522,300,700,18,30,8,2299.018345211882,3302.447496011022,5,5371.5640067017175,5601.465841222904,6264.125570803015
2366.969468466522,292,708,19,30,8,2264.1361880175086,3376.492180406907,5,5414.214749622664,5640.628368424415,6272.097867123905
2366.969468466522,299,701,20,30,8,2319.787384802614,3360.649733323107,5,5448.458379645459,5680.437118125721,6279.940506545119
2366.969468466522,304,696,21,30,8,2360.5030261937536,3360.184858329411,5,5484.637581903791,5720.687884523164,6287.901064058578
2366.969468466522,314,686,22,30,8,2441.5724867592476,3319.740109290829,5,5517.155347374152,5761.3125960500765,6295.85027404243
2366.969468466522,313,687,23,30,8,2459.566212574681,3341.90576524758,5,5555.515356564793,5801.471977822261,6303.785642924506
